month,covered_seconds,intervals_overlapped,covered_hours
2024-09-01 00:00:00-05:00,62.448,1,0.017346666666666666
2024-10-01 00:00:00-05:00,6937.991999999998,20,1.9272199999999995
2025-01-01 00:00:00-06:00,686.1360000000002,18,0.1905933333333334
2025-02-01 00:00:00-06:00,2912.136,1,0.8089266666666667
2025-03-01 00:00:00-06:00,1509.72,2,0.41936666666666667
2025-04-01 00:00:00-05:00,56032.968,10,15.564713333333334
2025-05-01 00:00:00-05:00,26264.399999999994,26,7.295666666666665
2025-06-01 00:00:00-05:00,108718.104,12,30.199473333333334
2025-07-01 00:00:00-05:00,218043.45600000006,24,60.56762666666668
2025-08-01 00:00:00-05:00,94370.20800000001,14,26.213946666666672
